id_cliente;cod_articulo_magic
0000|1837595;517263
0000|1593110;523278
0000|1594181;522442
0000|1705928;522575
0000|1722688;500264
0000|1722568;509826
0000|1797890;599590
0000|1705926;509826
0000|1638649;522662
0000|1770183;523595
0000|1600328;522353
0000|1603433;599587
0000|1599470;517297
0000|1601463;76643
0000|1600286;800058
0000|1579667;523519
0000|1639148;522575
0000|1837589;523538
0000|1593043;500354
0000|1517017;800071
0000|1587636;599590
0000|1596046;599228
0000|1602254;523278
0000|1604440;522713
0000|1524033;522353
0000|1597214;523278
0000|1813261;509826
0000|1638644;517146
0000|1590478;77401
0000|1595394;800071
0000|1591985;500264
0000|1813950;523595
0000|1705923;599587
0000|1595125;515614
0000|1812318;522795
0000|1837596;523538
0000|1600171;599837
0000|1595868;523439
0000|1837593;517263
0000|1591887;517263
0000|1601428;800054
0000|1813263;523278
0000|1597327;599876
0000|1740576;522795
0000|1837594;522633
0000|1829807;622631
0000|1604698;598801
0000|1597131;800071
0000|1602385;522512
0000|1837590;599587
0000|1796430;517262
0000|1705924;522713
0000|1639144;598901
0000|1638646;599587
0000|1813262;598801
0000|1598830;522722
0000|1639143;800060
0000|1638648;522442
0000|1602285;522721
0000|1599482;522577
0000|1639149;599228
0000|1592476;522633
0000|1596125;517146
0000|1590473;523278
0000|1593100;599587
0000|1708734;516209
0000|1594973;622631
0000|1837595;522634
0000|1593110;517297
0000|1594181;800060
0000|1705928;522795
0000|1722688;517140
0000|1722568;523595
0000|1797890;800054
0000|1705926;522634
0000|1638649;76643
0000|1770183;800071
0000|1600328;522721
0000|1603433;800054
0000|1599470;523538
0000|1601463;522355
0000|1600286;522577
0000|1579667;622631
0000|1639148;522355
0000|1837589;517140
0000|1593043;522795
0000|1517017;622631
0000|1587636;516209
0000|1596046;523519
0000|1602254;522442
0000|1604440;522577
0000|1524033;500354
0000|1597214;76643
0000|1813261;598901
0000|1638644;598801
0000|1590478;622631
0000|1595394;599212
0000|1591985;522353
0000|1813950;522577
0000|1705923;599212
0000|1595125;516209
0000|1812318;522632
0000|1837596;599876
0000|1600171;522633
0000|1595868;522575
0000|1837593;522634
0000|1591887;500354
0000|1601428;77400
0000|1813263;800060
0000|1597327;599590
0000|1740576;522634
0000|1837594;599590
0000|1829807;76643
0000|1604698;522721
0000|1597131;522713
0000|1602385;522722
0000|1837590;522856
0000|1796430;517297
0000|1705924;522512
0000|1639144;516209
0000|1638646;522352
0000|1813262;516209
0000|1598830;800060
0000|1639143;522722
0000|1638648;800054
0000|1602285;522633
0000|1599482;522713
0000|1639149;522352
0000|1592476;523439
0000|1596125;516209
0000|1590473;522632
0000|1593100;517140
0000|1708734;599590
0000|1594973;523519
0000|1837595;522355
0000|1593110;598801
0000|1594181;599590
0000|1705928;517297
0000|1722688;522634
0000|1722568;522577
0000|1797890;77400
0000|1705926;523538
0000|1638649;622631
0000|1770183;522577
0000|1600328;599837
0000|1603433;598801
0000|1599470;523439
0000|1601463;522633
0000|1600286;523278
0000|1579667;599837
0000|1639148;800058
0000|1837589;598801
0000|1593043;522722
0000|1517017;522352
0000|1587636;800071
0000|1596046;523125
0000|1602254;522577
0000|1604440;522722
0000|1524033;522632
0000|1597214;622631
0000|1813261;522795
0000|1638644;517263
0000|1590478;800054
0000|1595394;523278
0000|1591985;509826
0000|1813950;800071
0000|1705923;517140
0000|1595125;800060
0000|1812318;598801
0000|1837596;523595
0000|1600171;500354
0000|1595868;522722
0000|1837593;522355
0000|1591887;516209
0000|1601428;599587
0000|1813263;522442
0000|1597327;500354
0000|1740576;517146
0000|1837594;599837
0000|1829807;522512
0000|1604698;522856
0000|1597131;522355
0000|1602385;800071
0000|1837590;522633
0000|1796430;522633
0000|1705924;522633
0000|1639144;522634
0000|1638646;522512
0000|1813262;523538
0000|1598830;522352
0000|1639143;523519
0000|1638648;800058
0000|1602285;599218
