cod_articulo_magic,desc_articulo
51143,JARABE TERMINADO SANGRIA SE¥ORIAL
52489,BASE DE BEBIDA NARANJA AURRERA BG-MX-040/2U  PT
53524,JARABE TERMINADO MANDARINA MAQUILAS MARZO 2014
53661,JARABE TERMINADO BIG NARANJA MARZO 2014
53662,JARABE TERMINADO BIG TORONJA MARZO 2014
53663,JARABE TERMINADO BIG LIMA LIMON MARZO 2014
300143,JARABE TERMINADO MANDARINA MAQUILAS MARZO 2014
300470,JARABE BEBIDA MANBO
300471,JARABE BEBIDA CONGA
300663,Jarabe De Te  Negro Frutos Rojos Hot Fill 
300795,JARABE DE TE  NEGRO LIMON HOT FILL 25% RED
301014,JARABE TERMINADO VOLT CAFÉ
301050,JARABE TERMINADO BEBIDA ALCOHOLICA LOS JEFES
301076,JARABE TERMINADO DRANK SABOR ISLAND TIME
301078,JARABE TERMINADO DRANK SABOR TROPICAL TIME
301117,JARABE TERMINADO VOLT YELLOW PLUS
301125,JARABE TERMINADO CIFRUT UVA
301174,JARABE TERMINADO CIFRUT MAX BEBIDA DE MANGO
511354,CIFRUT TORONJA PET NO RETORNABLE 250 ML 24 PACK MT
3000035,JARABE TERMINADO BIG COLA - EXPORTACION A EEUU
3000042,JARABE TERMINADO VOLT BLUE ECONOMICO SIN AZUCAR
54118,JARABE TERMINADO TE VERDE LIMON
55696,BASE DE BEBIDA BIG MANZANA LIGHT  BG-MX-059/2U  PT
56721,JARABE TERMINADO BIG MANZANA LIGHT OCTUBRE 2014
56722,JARABE TERMINADO BIG TORONJA LIGHT OCTUBRE 2014
61377,JARABE TERMINADO LIMA LIMON ISOTONICOS JUNIO/2015
62181,BASE DE BEBIDA TROPICAL PUNCH   BF-MX-150430
62182,BASE DE BEBIDA TROPICAL PUNCH   BF-MX-150430
62681,JARABE TERMINADO BIG COLA NEGRA 60/40 AGOSTO 2015
68618,JARABE BIG COLA RED. 15%
69154,BASE DE BEBIDA JARABEADA CARBONATADA COLA CERO BG-MX-170502
