id_cliente;cod_articulo_magic
0030|1551314;523438
0030|1551544;522632
0030|1551554;599565
0030|1549730;522795
0030|1551545;599212
0030|1551550;515614
0030|1590572;517263
0030|1549984;599565
0030|1549727;500330
0030|1551557;517146
0030|1551337;599590
0030|1549705;517146
0030|1783386;599831
0030|1551548;516209
0030|1549701;522353
0030|1551539;599565
0030|1549711;500354
0030|1551304;509826
0030|1627664;599218
0030|1549943;516209
0030|1549718;500264
0030|1796574;522353
0030|1549952;599587
0030|1549735;76643
0030|1550083;522442
0030|1705570;523538
0030|1549722;523538
0030|1625338;76643
0030|1551546;598801
0030|1628873;515614
0030|1550076;76643
0030|1549729;523125
0030|1551314;522353
0030|1551544;800071
0030|1551554;515614
0030|1549730;599590
0030|1551545;515614
0030|1551550;522352
0030|1590572;517262
0030|1549984;800054
0030|1549727;599831
0030|1551557;522353
0030|1551337;599587
0030|1549705;522353
0030|1783386;599832
0030|1551548;517297
0030|1549701;522633
0030|1551539;800058
0030|1549711;522633
0030|1551304;800054
0030|1627664;599228
0030|1549943;599218
0030|1549718;517297
0030|1796574;800069
0030|1549952;599111
0030|1549735;599831
0030|1550083;523125
0030|1705570;800071
0030|1549722;599212
0030|1625338;509600
0030|1551546;500330
0030|1628873;599565
0030|1550076;599832
0030|1549729;800071
0030|1551314;522352
0030|1551544;523437
0030|1551554;509600
0030|1549730;599587
0030|1551545;599565
0030|1551550;522795
0030|1590572;800060
0030|1549984;800060
0030|1549727;522373
0030|1551557;522633
0030|1551337;599228
0030|1549705;522633
0030|1783386;800054
0030|1551548;599832
0030|1549701;523439
0030|1551539;523439
0030|1549711;599111
0030|1551304;800058
0030|1627664;517140
0030|1549943;523463
0030|1549718;522355
0030|1796574;522352
0030|1549952;522634
0030|1549735;522353
0030|1550083;523437
0030|1705570;523125
0030|1549722;599590
0030|1625338;599832
0030|1551546;517297
0030|1628873;522355
0030|1550076;509600
0030|1549729;523538
0030|1551314;599590
0030|1551544;523278
0030|1551554;599831
0030|1549730;517146
0030|1551545;599876
0030|1551550;522512
0030|1590572;517140
0030|1549984;800058
0030|1549727;599832
0030|1551557;523439
0030|1551337;598801
0030|1549705;523439
0030|1783386;599837
0030|1551548;509600
0030|1549701;523125
0030|1551539;522353
0030|1549711;517297
0030|1551304;516209
0030|1627664;599876
0030|1549943;522632
0030|1549718;76643
0030|1796574;522795
0030|1549952;622631
0030|1549735;516209
0030|1550083;800071
0030|1705570;523437
0030|1549722;599587
0030|1625338;599876
0030|1551546;522632
0030|1628873;76643
0030|1550076;599831
0030|1549729;599876
0030|1551314;599587
0030|1551544;523125
0030|1551554;76643
0030|1549730;523125
0030|1551545;599832
0030|1551550;523595
0030|1590572;522856
0030|1549984;500264
0030|1549727;509600
0030|1551557;523125
0030|1551337;516209
0030|1549705;523125
0030|1783386;500330
0030|1551548;76643
0030|1549701;523437
0030|1551539;522795
0030|1549711;500330
0030|1551304;598801
0030|1627664;515614
0030|1549943;522634
0030|1549718;509600
0030|1796574;517146
0030|1549952;76643
0030|1549735;598801
0030|1550083;523278
0030|1705570;523278
0030|1549722;517297
0030|1625338;509826
0030|1551546;599876
0030|1628873;509600
0030|1550076;522373
0030|1549729;522354
0030|1551314;522856
0030|1551544;523538
0030|1551554;599832
0030|1549730;523437
0030|1551545;599831
0030|1551550;599218
0030|1590572;517146
0030|1549984;522634
0030|1549727;76643
0030|1551557;523437
0030|1551337;523439
0030|1549705;523437
0030|1783386;522354
0030|1551548;522373
0030|1549701;800071
0030|1551539;599111
0030|1549711;599837
0030|1551304;522713
0030|1627664;599565
0030|1549943;622631
0030|1549718;599832
0030|1796574;509826
0030|1549952;522373
0030|1549735;515614
0030|1550083;523538
0030|1705570;599218
0030|1549722;522354
0030|1625338;522632
0030|1551546;522353
0030|1628873;599831
0030|1550076;522632
0030|1549729;522512
0030|1551314;523463
0030|1551544;598801
0030|1551554;522373
0030|1549730;800071
0030|1551545;76643
0030|1551550;523463
0030|1590572;599212
0030|1549984;622631
0030|1549727;523438
0030|1551557;800071
0030|1551337;522354
0030|1549705;800071
0030|1783386;598901
0030|1551548;599831
0030|1549701;523538
0030|1551539;800054
0030|1549711;800054
0030|1551304;522632
0030|1627664;599590
0030|1549943;599587
0030|1549718;522373
0030|1796574;599832
0030|1549952;509600
0030|1549735;599565
0030|1550083;599228
0030|1705570;599876
0030|1549722;515614
0030|1625338;599111
0030|1551546;622631
0030|1628873;599832
0030|1550076;509826
0030|1549729;509826
0030|1551314;523437
0030|1551544;516209
0030|1551554;522856
0030|1549730;523538
0030|1551545;522373
0030|1551550;599111
0030|1590572;800069
0030|1549984;599587
0030|1549727;599212
0030|1551557;523538
0030|1551337;522634
0030|1549705;523538
0030|1783386;599565
0030|1551548;599111
0030|1549701;523278
0030|1551539;509826
0030|1549711;523125
0030|1551304;500264
0030|1627664;599587
0030|1549943;599590
0030|1549718;599831
0030|1796574;509600
0030|1549952;599832
0030|1549735;599587
0030|1550083;523438
0030|1705570;517263
0030|1549722;599565
0030|1625338;522354
0030|1551546;522634
0030|1628873;522373
0030|1550076;522633
0030|1549729;522713
0030|1551314;800071
0030|1551544;599876
0030|1551554;800060
0030|1549730;523278
0030|1551545;509600
0030|1551550;622631
0030|1590572;522713
0030|1549984;599590
0030|1549727;599218
0030|1551557;523278
0030|1551337;622631
0030|1549705;523278
0030|1783386;515614
0030|1551548;622631
0030|1549701;522795
0030|1551539;599590
0030|1549711;800071
0030|1551304;522795
0030|1627664;522355
0030|1549943;522512
0030|1549718;500354
0030|1796574;599831
0030|1549952;599831
0030|1549735;599590
0030|1550083;599876
0030|1705570;522713
0030|1549722;517146
0030|1625338;523595
0030|1551546;523278
0030|1628873;599590
